Date,Total,Daily Cases,Total Deaths,Daily Deaths
26-02-2020,1,1,0,0
27-02-2020,1,0,0,0
28-02-2020,1,0,0,0
29-02-2020,1,0,0,0
01-03-2020,2,1,0,0
02-03-2020,2,0,0,0
03-03-2020,2,0,0,0
04-03-2020,2,0,0,0
05-03-2020,3,1,0,0
06-03-2020,8,5,0,0
07-03-2020,13,5,0,0
08-03-2020,13,0,0,0
09-03-2020,25,12,0,0
10-03-2020,34,9,0,0
11-03-2020,52,18,0,0
12-03-2020,77,25,0,0
13-03-2020,98,21,0,0
14-03-2020,121,23,0,0
15-03-2020,200,79,0,0
16-03-2020,234,34,0,0
17-03-2020,291,57,1,1
18-03-2020,428,137,4,3
19-03-2020,621,193,6,2
20-03-2020,904,283,11,5
21-03-2020,1128,224,18,7
22-03-2020,1546,418,25,7
23-03-2020,1891,345,34,9
24-03-2020,2201,310,46,12
25-03-2020,2433,232,57,11
26-03-2020,2915,482,77,20
27-03-2020,3417,502,92,15
28-03-2020,3904,487,114,22
29-03-2020,4256,352,136,22
30-03-2020,4579,323,159,23
31-03-2020,5717,1138,201,42
01-04-2020,6836,1119,241,40
02-04-2020,7910,1074,299,58
03-04-2020,9056,1146,359,60
04-04-2020,10278,1222,432,73
05-04-2020,11130,852,486,54
06-04-2020,12056,926,553,67
07-04-2020,13717,1661,667,114
08-04-2020,15927,2210,800,133
09-04-2020,17857,1930,941,141
10-04-2020,19638,1781,1056,115
11-04-2020,20727,1089,1124,68
12-04-2020,22169,1442,1223,99
13-04-2020,23430,1261,1328,105
14-04-2020,25262,1832,1532,204
15-04-2020,28320,3058,1736,204
16-04-2020,30425,2105,1924,188
17-04-2020,33682,3257,2141,217
18-04-2020,36599,2917,2347,206
19-04-2020,38654,2055,2462,115
20-04-2020,40581,1927,2575,113
21-04-2020,43079,2498,2741,166
22-04-2020,45757,2678,2906,165
23-04-2020,49492,3735,3313,407
24-04-2020,52995,3503,3670,357
25-04-2020,58509,5514,4016,346
26-04-2020,61888,3379,4205,189
27-04-2020,66501,4613,4543,338
28-04-2020,71886,5385,5017,474
29-04-2020,78162,6276,5466,449
30-04-2020,85380,7218,5901,435
01-05-2020,91589,6209,6329,428
02-05-2020,96559,4970,6750,421
03-05-2020,101147,4588,7025,275
04-05-2020,107780,6633,7321,296
05-05-2020,114715,6935,7921,600
06-05-2020,125218,10503,8536,615
07-05-2020,135106,9888,9146,610
08-05-2020,145328,10222,9897,751
09-05-2020,155939,10611,10627,730
10-05-2020,162699,6760,11123,496
11-05-2020,168331,5632,11519,396
12-05-2020,177589,9258,12400,881
13-05-2020,188974,11385,13149,749
14-05-2020,202918,13944,13993,844
15-05-2020,218223,15305,14817,824
16-05-2020,233142,14919,15633,816
17-05-2020,241080,7938,16118,485
18-05-2020,254220,13140,16792,674
19-05-2020,271628,17408,17971,1179
20-05-2020,291579,19951,18859,888
21-05-2020,310087,18508,20047,1188
22-05-2020,330890,20803,21048,1001
23-05-2020,347398,16508,22013,965
24-05-2020,363211,15813,22666,653
25-05-2020,374898,11687,23473,807
26-05-2020,391222,16324,24512,1039
27-05-2020,411821,20599,25598,1086
28-05-2020,438238,26417,26754,1156
29-05-2020,465166,26928,27878,1124
30-05-2020,498440,33274,28834,956
31-05-2020,514849,16409,29314,480
01-06-2020,526447,11598,29937,623
02-06-2020,555383,28936,31199,1262
03-06-2020,584016,28633,32548,1349
04-06-2020,614932,30916,34021,1473
05-06-2020,645762,30830,35026,1005
06-06-2020,672837,27075,35930,904
07-06-2020,691758,18921,36455,525
08-06-2020,707412,15654,37134,679
09-06-2020,739503,32091,38406,1272
10-06-2020,772416,32913,39680,1274
11-06-2020,802828,30412,40919,1239
12-06-2020,828810,25982,41828,909
13-06-2020,850514,21704,42720,892
14-06-2020,867624,17110,43332,612
15-06-2020,888271,20647,43959,627
16-06-2020,923189,34918,45241,1282
