Date,Total,Daily Cases,Total Deaths,Daily Deaths
01-02-2020,2,2,0,0
02-02-2020,2,0,0,0
03-02-2020,2,0,0,0
04-02-2020,2,0,0,0
05-02-2020,2,0,0,0
06-02-2020,2,0,0,0
07-02-2020,2,0,0,0
08-02-2020,2,0,0,0
09-02-2020,2,0,0,0
10-02-2020,2,0,0,0
11-02-2020,2,0,0,0
12-02-2020,2,0,0,0
13-02-2020,2,0,0,0
14-02-2020,2,0,0,0
15-02-2020,2,0,0,0
16-02-2020,2,0,0,0
17-02-2020,2,0,0,0
18-02-2020,2,0,0,0
19-02-2020,2,0,0,0
20-02-2020,2,0,0,0
21-02-2020,2,0,0,0
22-02-2020,2,0,0,0
23-02-2020,2,0,0,0
24-02-2020,2,0,0,0
25-02-2020,2,0,0,0
26-02-2020,2,0,0,0
27-02-2020,2,0,0,0
28-02-2020,2,0,0,0
29-02-2020,2,0,0,0
01-03-2020,2,0,0,0
02-03-2020,3,1,0,0
03-03-2020,4,1,0,0
04-03-2020,4,0,0,0
05-03-2020,4,0,0,0
06-03-2020,10,6,0,0
07-03-2020,10,0,0,0
08-03-2020,10,0,0,0
09-03-2020,10,0,0,0
10-03-2020,10,0,0,0
11-03-2020,25,15,0,0
12-03-2020,30,5,0,0
13-03-2020,45,15,0,0
14-03-2020,59,14,0,0
15-03-2020,63,4,0,0
16-03-2020,93,30,0,0
17-03-2020,114,21,0,0
18-03-2020,147,33,0,0
19-03-2020,199,52,0,0
20-03-2020,253,54,0,0
21-03-2020,306,53,0,0
22-03-2020,438,132,0,0
23-03-2020,438,0,0,0
24-03-2020,495,57,0,0
25-03-2020,658,163,0,0
26-03-2020,840,182,2,2
27-03-2020,1036,196,4,2
28-03-2020,1264,228,5,1
29-03-2020,1534,270,8,3
30-03-2020,1836,302,10,2
31-03-2020,2337,501,17,7
01-04-2020,2777,440,24,7
02-04-2020,3548,771,30,6
03-04-2020,4149,601,34,4
04-04-2020,4731,582,43,9
05-04-2020,5389,658,45,2
06-04-2020,6343,954,47,2
07-04-2020,7497,1154,58,11
08-04-2020,8672,1175,63,5
09-04-2020,10131,1459,76,13
10-04-2020,11917,1786,94,18
11-04-2020,13584,1667,106,12
12-04-2020,15770,2186,130,24
13-04-2020,18328,2558,148,18
14-04-2020,21102,2774,170,22
15-04-2020,24490,3388,198,28
16-04-2020,27938,3448,232,34
17-04-2020,32008,4070,273,41
18-04-2020,36793,4785,313,40
19-04-2020,42853,6060,361,48
20-04-2020,47121,4268,405,44
21-04-2020,52763,5642,456,51
22-04-2020,57999,5236,513,57
23-04-2020,62773,4774,555,42
24-04-2020,68622,5849,615,60
25-04-2020,74588,5966,681,66
26-04-2020,80949,6361,747,66
27-04-2020,87147,6198,795,48
28-04-2020,93558,6411,867,72
29-04-2020,99399,5841,972,105
30-04-2020,106498,7099,1073,101
01-05-2020,114431,7933,1169,96
02-05-2020,124054,9623,1222,53
