Date,Total,Daily Cases,Total Deaths,Daily Deaths
05-03-2020,1,1,0,0
06-03-2020,1,0,0,0
07-03-2020,2,1,0,0
08-03-2020,3,1,0,0
09-03-2020,7,4,0,0
10-03-2020,7,0,0,0
11-03-2020,13,6,0,0
12-03-2020,17,4,0,0
13-03-2020,24,7,0,0
14-03-2020,24,0,0,0
15-03-2020,51,27,0,0
16-03-2020,62,11,0,0
17-03-2020,85,23,0,0
18-03-2020,116,31,0,0
19-03-2020,150,34,0,0
20-03-2020,205,55,0,0
21-03-2020,240,35,0,0
22-03-2020,274,34,0,0
23-03-2020,402,128,0,0
24-03-2020,557,155,0,0
25-03-2020,709,152,0,0
26-03-2020,927,218,2,2
27-03-2020,1170,243,2,0
28-03-2020,1187,17,2,0
29-03-2020,1280,93,2,0
30-03-2020,1326,46,3,1
31-03-2020,1353,27,5,2
01-04-2020,1380,27,5,0
02-04-2020,1462,82,5,0
03-04-2020,1505,43,7,2
04-04-2020,1585,80,9,2
05-04-2020,1655,70,11,2
06-04-2020,1686,31,12,1
07-04-2020,1749,63,13,1
08-04-2020,1845,96,18,5
09-04-2020,1934,89,18,0
10-04-2020,2003,69,24,6
11-04-2020,2028,25,25,1
12-04-2020,2173,145,25,0
13-04-2020,2272,99,27,2
14-04-2020,2415,143,27,0
15-04-2020,2506,91,34,7
16-04-2020,2605,99,48,14
17-04-2020,2783,178,50,2
18-04-2020,3034,251,52,2
19-04-2020,3158,124,54,2
20-04-2020,3300,142,58,4
21-04-2020,3465,165,58,0
22-04-2020,3635,170,65,7
23-04-2020,3953,318,75,10
24-04-2020,4220,267,79,4
25-04-2020,4361,141,86,7
26-04-2020,4546,185,87,1
27-04-2020,4793,247,90,3
28-04-2020,4996,203,93,3
29-04-2020,5350,354,103,10
30-04-2020,5647,297,103,0
01-05-2020,5951,304,116,13
02-05-2020,6336,385,123,7
03-05-2020,6783,447,131,8
04-05-2020,7220,437,138,7
05-05-2020,7572,352,148,10
06-05-2020,7808,236,153,5
07-05-2020,8232,424,161,8
08-05-2020,8895,663,178,17
09-05-2020,9420,525,186,8
10-05-2020,10015,595,194,8
11-05-2020,10652,637,206,12
12-05-2020,11350,698,206,0
13-05-2020,12074,724,219,13
14-05-2020,12739,665,238,19
15-05-2020,13524,785,247,9
16-05-2020,14355,831,261,14
17-05-2020,15515,1160,264,3
18-05-2020,16433,918,286,22
19-05-2020,17200,767,312,26
20-05-2020,18003,803,339,27
21-05-2020,19137,1134,369,30
22-05-2020,20125,988,397,28
23-05-2020,21343,1218,407,10
24-05-2020,22583,1240,429,22
25-05-2020,23615,1032,481,52
26-05-2020,24264,649,524,43
27-05-2020,25937,1673,552,28
28-05-2020,27403,1466,577,25
29-05-2020,29240,1837,611,34
30-05-2020,30967,1727,643,32
31-05-2020,32683,1716,683,40
01-06-2020,34357,1674,705,22
02-06-2020,35812,1455,755,50
03-06-2020,37525,1713,792,37
04-06-2020,40792,3267,848,56
05-06-2020,43434,2642,908,60
06-06-2020,45973,2539,952,44
07-06-2020,48285,2312,998,46
08-06-2020,50879,2594,1080,82
09-06-2020,52991,2112,1162,82
10-06-2020,55421,2430,1210,48
11-06-2020,58568,3147,1289,79
12-06-2020,61927,3359,1354,65
13-06-2020,65736,3809,1423,69
14-06-2020,70038,4302,1480,57
15-06-2020,73533,3495,1568,88
16-06-2020,76334,2801,1625,57
17-06-2020,80412,4078,1674,49
18-06-2020,83890,3478,1737,63
19-06-2020,87715,3825,1831,94
20-06-2020,92681,4966,1877,46
21-06-2020,97302,4621,1930,53
22-06-2020,101590,4288,1991,61
23-06-2020,106108,4518,2102,111
24-06-2020,111796,5688,2205,103
25-06-2020,118375,6579,2292,87
26-06-2020,124590,6215,2340,48
27-06-2020,131800,7210,2413,73
28-06-2020,138134,6334,2456,43
29-06-2020,144264,6130,2529,73
30-06-2020,151209,6945,2657,128
01-07-2020,159333,8124,2749,92
02-07-2020,168061,8728,2844,95
03-07-2020,177124,9063,2952,108
04-07-2020,187977,10853,3026,74
05-07-2020,196750,8773,3199,173
06-07-2020,205721,8971,3310,111
07-07-2020,215855,10134,3502,192
08-07-2020,224665,8810,3602,100
09-07-2020,238339,13674,3720,118
10-07-2020,250687,12348,3860,140
11-07-2020,264184,13497,3971,111
12-07-2020,276242,12058,4079,108
13-07-2020,287796,11554,4172,93
14-07-2020,298292,10496,4346,174
15-07-2020,311049,12757,4453,107
16-07-2020,324221,13172,4669,216
17-07-2020,337594,13373,4804,135
18-07-2020,350879,13285,4948,144
19-07-2020,364328,13449,5033,85
20-07-2020,373628,9300,5173,140
21-07-2020,381798,8170,5368,195
22-07-2020,394948,13150,5940,572
23-07-2020,408052,13104,6093,153
24-07-2020,421996,13944,6343,250
25-07-2020,434200,12204,6655,312
26-07-2020,445433,11233,6769,114
27-07-2020,452529,7096,7067,298
28-07-2020,459761,7232,7257,190
29-07-2020,471123,11362,7497,240
30-07-2020,482169,11046,7812,315
31-07-2020,493183,11014,8005,193
01-08-2020,503290,10107,8153,148
02-08-2020,511485,8195,8366,213
03-08-2020,516862,5377,8539,173
04-08-2020,521318,4456,8884,345
05-08-2020,529877,8559,9298,414
06-08-2020,538184,8307,9604,306
07-08-2020,545476,7292,9909,305
08-08-2020,553188,7712,10210,301
09-08-2020,559858,6670,10408,198
10-08-2020,563598,3740,10621,213
